Veh 1 normal speed,Veh 1 max speed,Veh 1 min speed,Veh 1 color threshold,Veh 1 distance threshold 1,Veh 1 distance threshold 2,Veh 2 normal speed,Veh 2 max speed,Veh 2 min speed,Veh 2 color threshold,Veh 2 distance threshold 1,Veh 2 distance threshold 2,,,,,,,,,
90,130,80,37,500,600,90,165,80,40,300,330,,,,,,,,,
 Veh 1 color, Veh 1 distance, Veh 1 speed,Veh 1 stop, Veh 1 step, Veh 1 deviation, Veh 1 integral, Veh 1 derivative,Veh 2 color,Veh 2  distance,Veh 2  speed,Veh 2 stop,Veh 2  step,Veh 2  deviation,Veh 2  integral,Veh 2  derivative,Veh 2  frontID,Veh 2  frontTime,Veh 2  frontStep,Veh 2  frontSpeed,Veh 2  frontDistance
63,2550,90.5,0,0,25.5,138.5,7,25,899,165,0,0,-15,0,-41,1,23657,0,89.5,2550
52,2550,91,0,0,14.5,153,-11,8,921,165,0,0,-32,-32,-17,1,23790,0,90,2550
25,2550,91.5,0,0,-12.5,0,-27,37,2409,165,0,0,-3,0,29,1,23790,0,90,2550
53,871,92,0,0,15.5,0,28,73,937,165,0,0,33,0,36,1,23932,0,90.5,2550
78,856,92.5,0,0,40.5,40.5,25,57,842,165,0,0,17,17,-16,1,24221,0,91.5,2550
78,864,93,0,0,40.5,81,0,8,840,165,0,0,-32,0,-49,1,24221,0,91.5,871
77,1152,93.5,0,0,39.5,120.5,-1,5,818,165,0,0,-35,-35,-3,1,24362,0,92,856
66,2550,94,0,0,28.5,149,-11,51,782,165,0,0,11,0,46,1,24508,0,92.5,864
45,2550,94.5,0,0,7.5,0,-21,65,2550,165,0,0,25,25,14,1,24648,0,93,1152
58,2550,95,0,0,20.5,20.5,13,61,780,165,0,0,21,46,-4,1,24798,0,93.5,2550
76,2550,95.5,0,0,38.5,59,18,43,765,165,0,0,3,0,-18,1,24967,0,94,2550
69,2550,96,0,0,31.5,90.5,-7,18,757,165,0,0,-22,0,-25,1,25110,0,94.5,2550
20,2550,96.5,0,0,-17.5,0,-49,18,757,165,0,0,-22,-22,0,1,25250,0,95,2550
11,2494,97,0,0,-26.5,-26.5,-9,63,748,165,0,0,23,0,45,1,25387,0,95.5,2550
75,2473,97.5,0,0,37.5,0,64,72,1679,165,0,0,32,32,9,1,25528,0,96,2550
77,2457,98,0,0,39.5,39.5,2,50,734,165,0,0,10,42,-22,1,25672,0,96.5,2494
55,2456,98.5,0,0,17.5,57,-22,7,750,165,0,0,-33,0,-43,1,25826,0,97,2473
30,2443,99,0,0,-7.5,0,-25,7,728,165,0,0,-33,-33,0,1,25968,0,97.5,2457
40,2430,99.5,0,0,2.5,0,10,77,728,165,0,0,37,0,70,1,26112,0,98,2456
69,2416,100,0,0,31.5,31.5,29,71,2550,165,0,0,31,31,-6,1,26254,0,98.5,2443
59,2405,100.5,0,0,21.5,53,-10,64,2550,165,0,0,24,55,-7,1,26389,0,99,2430
6,2390,101,0,0,-31.5,0,-53,36,2124,165,0,0,-4,0,-28,1,26539,0,99.5,2416
4,2378,101.5,0,0,-33.5,-33.5,-2,6,2550,165,0,0,-34,-34,-30,1,26680,0,100,2405
70,2354,102,0,0,32.5,0,66,30,2550,165,0,0,-10,-44,24,1,26827,0,100.5,2390
77,2340,102.5,0,0,39.5,39.5,7,80,2550,165,0,0,40,0,50,1,26969,0,101,2378
21,2340,103,0,0,-16.5,0,-56,80,1372,165,0,0,40,40,0,1,27109,0,101.5,2354
6,2340,103.5,0,0,-31.5,-31.5,-15,37,2550,165,0,0,-3,0,-43,1,27390,0,102,2340
25,2320,104,0,0,-12.5,-44,19,7,1288,165,0,0,-33,-33,-30,1,27390,0,102.5,2340
61,2306,104.5,0,0,23.5,0,36,12,1286,165,0,0,-28,-61,5,1,27527,0,103,2340
55,2291,105,0,0,17.5,17.5,-6,72,1255,165,0,0,32,0,60,1,27812,0,104,2320
15,2282,105.5,0,0,-22.5,0,-40,67,2550,165,0,0,27,27,-5,1,27812,0,104,2306
