Original Statement,tp,tn,fp,fn,score
"m_12: (v(i=0, t=2)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",768,285,383,129,72.93447293447294
"m_62: (v(i=0, t=52)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",741,275,369,138,72.93307086614173
"m_61: (v(i=0, t=51)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",738,278,373,135,72.63779527559055
"m_2: (v(i=0, t=0)>=c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",370,140,781,274,72.54901960784314
"m_3: (v(i=0, t=0)>c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",368,140,783,274,72.44094488188976
"m_118: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=7)<c(i=0, t=None))",764,291,390,123,72.41706161137441
"m_174: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=64)<c(i=0, t=None))",744,284,386,97,72.37354085603113
"m_13: (v(i=0, t=3)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",761,291,390,123,72.33840304182509
"m_60: (v(i=0, t=50)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",731,285,381,128,71.9488188976378
"m_117: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=6)<c(i=0, t=None))",757,298,398,116,71.75355450236967
"m_175: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=65)<c(i=0, t=None))",736,291,393,90,71.66504381694256
"m_14: (v(i=0, t=4)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",753,298,398,116,71.64605137963844
"m_59: (v(i=0, t=49)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",726,290,387,123,71.45669291338582
"m_176: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=66)<c(i=0, t=None))",731,295,397,86,71.24756335282652
"m_116: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=5)<c(i=0, t=None))",750,305,406,109,71.09004739336493
"m_58: (v(i=0, t=48)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",722,294,392,119,71.06299212598425
"m_15: (v(i=0, t=5)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",745,305,406,109,70.95238095238095
"m_177: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=67)<c(i=0, t=None))",726,299,401,82,70.82926829268293
"m_115: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=4)<c(i=0, t=None))",747,308,410,106,70.80568720379146
"m_57: (v(i=0, t=47)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",719,297,395,117,70.76771653543307
"m_16: (v(i=0, t=6)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",741,308,410,106,70.63870352716873
"m_178: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=68)<c(i=0, t=None))",723,301,403,80,70.60546875
"m_56: (v(i=0, t=46)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",716,300,399,114,70.47244094488188
"m_114: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=3)<c(i=0, t=None))",743,312,415,102,70.4265402843602
"m_55: (v(i=0, t=45)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",715,301,401,113,70.3740157480315
"m_54: (v(i=0, t=44)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",714,302,403,112,70.2755905511811
"m_17: (v(i=0, t=7)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",736,312,415,102,70.22900763358778
"m_179: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=69)<c(i=0, t=None))",717,306,408,75,70.08797653958945
"m_53: (v(i=0, t=43)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",712,304,406,110,70.07874015748031
"m_113: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=2)<c(i=0, t=None))",737,318,422,96,69.85781990521328
"m_52: (v(i=0, t=42)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",709,307,410,107,69.78346456692913
"m_18: (v(i=0, t=8)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",729,318,422,96,69.62750716332378
"m_51: (v(i=0, t=41)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",706,310,414,104,69.48818897637796
"m_180: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=70)<c(i=0, t=None))",709,313,415,68,69.37377690802349
"m_112: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=1)<c(i=0, t=None))",731,324,429,90,69.28909952606635
"m_50: (v(i=0, t=40)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",702,314,419,100,69.09448818897637
"m_19: (v(i=0, t=9)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",722,324,429,90,69.02485659655831
"m_181: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=71)<c(i=0, t=None))",702,319,421,62,68.75612144955926
"m_49: (v(i=0, t=39)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",698,318,424,96,68.7007874015748
"m_111: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=0)<c(i=0, t=None))",724,331,437,83,68.62559241706161
"m_48: (v(i=0, t=38)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",695,322,428,92,68.33824975417896
"m_20: (v(i=0, t=10)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",714,331,437,83,68.32535885167465
"m_182: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=72)<c(i=0, t=None))",696,324,426,57,68.23529411764706
"m_21: (v(i=0, t=11)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",710,334,440,80,68.00766283524904
"m_183: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=73)<c(i=0, t=None))",691,328,430,53,67.81157998037291
"m_47: (v(i=0, t=37)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",690,328,434,86,67.77996070726915
"m_22: (v(i=0, t=12)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",705,338,444,76,67.5934803451582
"m_209: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=99)<c(i=0, t=None))",671,322,424,59,67.5730110775428
"m_184: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=74)<c(i=0, t=None))",686,332,434,49,67.38703339882122
"m_208: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=98)<c(i=0, t=None))",669,325,427,56,67.30382293762575
"m_23: (v(i=0, t=13)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",700,342,448,72,67.17850287907869
"m_185: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=75)<c(i=0, t=None))",683,334,436,47,67.1583087512291
"m_207: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=97)<c(i=0, t=None))",668,327,429,54,67.1356783919598
"m_46: (v(i=0, t=36)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",684,335,441,79,67.12463199214916
"m_186: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=76)<c(i=0, t=None))",680,336,438,45,66.92913385826772
"m_24: (v(i=0, t=14)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",696,345,451,69,66.85878962536023
"m_206: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=96)<c(i=0, t=None))",665,331,433,50,66.76706827309236
"m_45: (v(i=0, t=35)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",681,339,445,75,66.76470588235294
"m_25: (v(i=0, t=15)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",694,346,452,68,66.73076923076923
"m_187: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=77)<c(i=0, t=None))",677,338,440,43,66.69950738916256
"m_26: (v(i=0, t=16)<c(i=0, t=None),	v(i=1, t=10)<c(i=0, t=None))",693,346,452,68,66.69874879692011
"m_205: (v(i=0, t=0)<c(i=0, t=None),	v(i=1, t=95)<c(i=0, t=None))",664,333,435,48,66.59979939819458
